Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
0,5,0.00833333,5,10,0,10,15.5,0,-0,7.3094,1.15833,6.1594,12,0,10,19.0941,0,-0,3,-1.99167,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,12,0,10,18.1204,0,-0,7,2.00833,5,10,0,10,15.5,0,-0,3.8453,-1.99167,5.8453,12,0,10,18.1204,0,-0
0.05,5,0.030549,4.99167,10,1.16518,10,15.4742,-2.75,-0.0366667,7.3094,1.18055,6.15107,12,1.85826,10,19.0683,-3.54707,-0.0366667,3,-1.96945,4.99167,10,1.16518,10,15.4742,-2.75,-0.0366667,3.8453,-1.96945,5.83697,12,1.40107,10,18.0946,-3.06021,-0.0366667,7,2.03055,4.99167,10,1.16518,10,15.4742,-2.75,-0.0366667,3.8453,-1.96945,5.83697,12,1.40107,10,18.0946,-3.06021,-0.0366667
0.1,5,0.0703107,4.96945,10,1.25272,10,15.4053,-4.09375,-0.130749,7.3094,1.22031,6.12885,12,1.93171,10,18.9994,-5.28936,-0.130749,3,-1.92969,4.96945,10,1.25272,10,15.4053,-4.09375,-0.130749,3.8453,-1.92969,5.81475,12,1.48357,10,18.0257,-4.55907,-0.130749,7,2.07031,4.96945,10,1.25272,10,15.4053,-4.09375,-0.130749,3.8453,-1.92969,5.81475,12,1.48357,10,18.0257,-4.55907,-0.130749
0.15,5,0.129985,4.92969,10,1.35263,10,15.282,-4.58556,-0.292626,7.3094,1.27999,6.08909,12,2.06335,10,18.8762,-5.95724,-0.292626,3,-1.87001,4.92969,10,1.35263,10,15.282,-4.58556,-0.292626,3.8453,-1.87001,5.77499,12,1.64955,10,17.9025,-5.11152,-0.292626,7,2.12999,4.92969,10,1.35263,10,15.282,-4.58556,-0.292626,3.8453,-1.87001,5.77499,12,1.64955,10,17.9025,-5.11152,-0.292626
0.2,5,0.211032,4.87001,9.88103,1.5,10,15.097,-4.69008,-0.525931,7.3094,1.36103,6.02942,12,2.1782,10,18.6912,-6.14981,-0.525931,3,-1.78897,4.87001,9.88103,1.5,10,15.097,-4.69008,-0.525931,3.8453,-1.78897,5.71531,11.9452,1.83143,10,17.7175,-5.24638,-0.525931,7,2.21103,4.87001,9.88103,1.5,10,15.097,-4.69008,-0.525931,3.8453,-1.78897,5.71531,11.9452,1.83143,10,17.7175,-5.24638,-0.525931
0.25,5,0.314264,4.78897,9.42156,1.5,10,14.8458,-4.5943,-0.829942,7.3094,1.46426,5.94837,11.5714,1.87364,10,18.4399,-6.03857,-0.829942,3,-1.68574,4.78897,9.42156,1.5,10,14.8458,-4.5943,-0.829942,3.8453,-1.68574,5.63427,11.5026,1.61189,10,17.4662,-5.13369,-0.829942,7,2.31426,4.78897,9.42156,1.5,10,14.8458,-4.5943,-0.829942,3.8453,-1.68574,5.63427,11.5026,1.61189,10,17.4662,-5.13369,-0.829942
0.3,5,0.440029,4.68574,8.82402,1.5,10,14.5258,-4.50059,-1.20117,7.3094,1.59003,5.84514,10.9971,1.78761,10,18.1199,-5.92166,-1.20117,3,-1.55997,4.68574,8.82402,1.5,10,14.5258,-4.50059,-1.20117,3.8453,-1.55997,5.53104,10.922,1.52586,10,17.1462,-5.02307,-1.20117,7,2.44003,4.68574,8.82402,1.5,10,14.5258,-4.50059,-1.20117,3.8453,-1.55997,5.53104,10.922,1.52586,10,17.1462,-5.02307,-1.20117
0.35,5,0.587986,4.55997,8.0921,1.5,9.5921,14.1359,-4.40939,-1.63442,7.3094,1.73833,5.71937,10.2884,1.68281,10,17.7301,-5.80728,-1.63442,3,-1.41201,4.55997,8.0921,1.5,9.5921,14.1359,-4.40939,-1.63442,3.8453,-1.41167,5.40527,10.207,1.5,10,16.7563,-4.91496,-1.63442,7,2.58799,4.55997,8.0921,1.5,9.5921,14.1359,-4.40939,-1.63442,3.8453,-1.41167,5.40527,10.207,1.5,10,16.7563,-4.91496,-1.63442
0.4,5,0.756946,4.41201,7.2341,1.5,8.7341,13.6772,-4.32115,-2.12199,7.3094,1.9089,5.57107,9.45099,1.55923,10,17.2703,-5.69586,-2.12349,3,-1.24305,4.41201,7.2341,1.5,8.7341,13.6772,-4.32115,-2.12199,3.8453,-1.2411,5.25697,9.36331,1.5,10,16.2966,-4.80982,-2.12349,7,2.75695,4.41201,7.2341,1.5,8.7341,13.6772,-4.32115,-2.12199,3.8453,-1.2411,5.25697,9.36331,1.5,10,16.2966,-4.80982,-2.12349
0.45,5,0.94505,4.24305,6.26396,1.5,7.76396,13.1535,-4.23629,-2.65321,7.3094,2.10131,5.4005,8.49203,1.5,9.99203,16.7415,-5.58785,-2.66167,3,-1.05495,4.24305,6.26396,1.5,7.76396,13.1535,-4.23629,-2.65321,3.8453,-1.04877,5.0864,8.39806,1.5,9.89806,15.7678,-4.7081,-2.66167,7,2.94505,4.24305,6.26396,1.5,7.76396,13.1535,-4.23629,-2.65321,3.8453,-1.04877,5.0864,8.39806,1.5,9.89806,15.7678,-4.7081,-2.66167
0.5,5,1.14993,4.05495,5.1996,1.5,6.6996,12.5703,-4.15519,-3.21555,7.3094,2.31407,5.20809,7.41931,1.5,8.91931,16.1451,-5.48368,-3.24209,3,-0.85007,4.05495,5.1996,1.5,6.6996,12.5703,-4.15519,-3.21555,3.8453,-0.836221,4.89407,7.31965,1.5,8.81965,15.1716,-4.61022,-3.24175,7,3.14993,4.05495,5.1996,1.5,6.6996,12.5703,-4.15519,-3.21555,3.8453,-0.836221,4.89407,7.31965,1.5,8.81965,15.1716,-4.61022,-3.24175
0.55,5,1.36884,3.85007,4.06157,1.5,5.56157,11.9352,-4.07819,-3.79546,7.3094,2.54497,4.99533,6.24772,1.5,7.74772,15.4855,-5.38378,-3.85403,3,-0.631156,3.85007,4.06157,1.5,5.56157,11.9352,-4.07819,-3.79546,3.8453,-0.605705,4.68152,6.14334,1.5,7.64334,14.5127,-4.51658,-3.85279,7,3.36884,3.85007,4.06157,1.5,5.56157,11.9352,-4.07819,-3.79546,3.8453,-0.605705,4.68152,6.14334,1.5,7.64334,14.5127,-4.51658,-3.85279
0.6,5,1.5988,3.63116,2.8719,1.5,4.3719,11.2566,-4.00556,-4.37913,7.3094,2.79127,4.76443,4.99668,1.5,6.49668,14.7697,-5.28849,-4.48458,3,-0.401193,3.63116,2.87188,1.5,4.37188,11.2566,-4.00556,-4.37914,3.8453,-0.359984,4.451,4.88877,1.5,6.38877,13.7981,-4.42756,-4.48178,7,3.59881,3.63116,2.87188,1.5,4.37188,11.2566,-4.00556,-4.37914,3.8453,-0.359984,4.451,4.88877,1.5,6.38877,13.7981,-4.42756,-4.48178
0.65,5,1.83667,3.4012,1.65317,1.5,3.15317,10.5437,-3.93754,-4.95302,7.3094,3.04989,4.51813,3.68826,1.5,5.18826,14.0062,-5.19813,-5.11984,3,-0.163304,3.40119,1.6531,1.5,3.1531,10.5437,-3.93754,-4.95306,3.8453,-0.10215,4.20528,3.57815,1.5,5.07815,13.0364,-4.34346,-5.11477,7,3.8367,3.40119,1.6531,1.5,3.1531,10.5437,-3.93754,-4.95306,3.8453,-0.10215,4.20528,3.57815,1.5,5.07815,13.0364,-4.34346,-5.11477
0.7,5,2.07931,3.16333,0.427664,1.5,1.92766,9.80631,-3.87427,-5.50438,7.3094,3.31694,4.25951,2.34577,0.75,3.09577,13.2045,-5.11294,-5.74579,3,0.0793525,3.1633,0.427497,1.5,1.9275,9.80624,-3.87427,-5.50447,3.8453,0.163891,3.94745,2.23482,0.75,2.98482,12.2371,-4.26451,-5.73776,7,4.07935,3.1633,0.427497,1.5,1.9275,9.80624,-3.87427,-5.50447,3.8453,0.163891,3.94745,2.23482,0.75,2.98482,12.2371,-4.26451,-5.73776
